membership,school,url
www.oclc.org,University of Amsterdam,http://cf.uba.uva.nl/en/
www.oclc.org,University of Arizona,http://www.library.arizona.edu/
www.oclc.org,University of Auckland,http://www.library.auckland.ac.nz/
www.oclc.org,University of Calgary,http://lcr.ucalgary.ca/
www.oclc.org,"University of California, Berkeley",http://www.lib.berkeley.edu/
www.oclc.org,"University of California, Davis",http://www.lib.ucdavis.edu/
www.oclc.org,"University of California, Irvine",http://www.uci.edu/
www.oclc.org,"University of California, Los Angeles",http://www.library.ucla.edu/
www.oclc.org,"Unversity of California, Riverside",http://library.ucr.edu
www.oclc.org,"University of California, San Diego",http://libraries.ucsd.edu/
www.oclc.org,University of Cambridge,http://www.lib.cam.ac.uk/
www.oclc.org,University of Chicago,http://www.lib.uchicago.edu/
www.oclc.org,University of Delaware,http://www.udel.edu/library/
www.oclc.org,University of Edinburgh,http://www.ed.ac.uk/is/library
www.oclc.org,University of Florida,http://www.uflib.ufl.edu/
www.oclc.org,University of Glasgow,http://www.lib.gla.ac.uk/
www.oclc.org,University of Hong Kong,http://lib.hku.hk/
www.oclc.org,University of Houston,http://info.lib.uh.edu/
www.oclc.org,University of Illinois at Urbana-Champaign,http://www.library.illinois.edu/
www.oclc.org,University of Iowa Law Library,http://www.law.uiowa.edu/library/
www.oclc.org,University of Kansas,http://www.lib.ku.edu/
www.oclc.org,University of Leeds,http://library.leeds.ac.uk/
www.oclc.org,University of Leicester,http://www2.le.ac.uk/library
www.oclc.org,University of Liverpool,http://www.liv.ac.uk/library/
www.oclc.org,University of Manchester,http://www.library.manchester.ac.uk/
www.oclc.org,University of Manitoba,http://umanitoba.ca/libraries/
www.oclc.org,University of Maryland,http://www.lib.umd.edu/
www.oclc.org,University of Melbourne,http://www.unimelb.edu.au/
www.oclc.org,University of Miami,http://www.library.miami.edu/
www.oclc.org,University of Michigan,http://www.lib.umich.edu/
www.oclc.org,University of Minnesota,http://www.lib.umn.edu/
www.oclc.org,University of New South Wales,http://www.unsw.edu.au/
www.oclc.org,"University of Nevada, Las Vegas",https://www.library.unlv.edu/
www.oclc.org,University of Notre Dame,http://www.nd.edu/
www.oclc.org,University of Oxford,http://www.bodleian.ox.ac.uk/
www.oclc.org,University of Pennsylvania,http://www.library.upenn.edu/
www.oclc.org,University of Pittsburgh,http://www.library.pitt.edu/
www.oclc.org,The University of Queensland,http://www.library.uq.edu.au/
www.oclc.org,University of Sheffield,https://www.sheffield.ac.uk/library
www.oclc.org,University of South Carolina,http://www.sc.edu/library/
www.oclc.org,University of South Florida,http://www.lib.usf.edu/
www.oclc.org,University of Southern California,http://www.usc.edu/libraries/
www.oclc.org,University of St Andrews,http://www.st-andrews.ac.uk/library/
www.oclc.org,University of Sydney,http://sydney.edu.au/library/
www.oclc.org,"University of Tennessee, Knoxville",http://www.lib.utk.edu/
www.oclc.org,University of Texas at Austin,http://www.lib.utexas.edu/
www.oclc.org,University of Texas at Dallas,http://www.utdallas.edu/library/
www.oclc.org,University of Texas at San Antonio,http://lib.utsa.edu/
www.oclc.org,University of Toronto,http://www.library.utoronto.ca/
www.oclc.org,University of Warwick,http://www.warwick.ac.uk/go/library/
www.oclc.org,University of Washington,http://www.lib.washington.edu/
www.oclc.org,University of Western Australia,http://www.is.uwa.edu.au/
www.oclc.org,University of Wisconsin-Madison,http://www.library.wisc.edu
www.oclc.org,University of Wyoming,http://www-lib.uwyo.edu/
www.oclc.org,University of York (UK),http://www.york.ac.uk/library/
www.oclc.org,Utrecht University,http://www.uu.nl/university/Library/EN/Pages/default.aspx
www.oclc.org,Vassar College,http://library.vassar.edu/
www.oclc.org,Victoria and Albert Museum,http://www.vam.ac.uk/
www.oclc.org,Washington University in Saint Louis,http://library.wustl.edu
www.oclc.org,Wellcome Library,http://library.wellcome.ac.uk/
www.oclc.org,"Winterthur Museum, Garden & Library",http://www.winterthur.org/
www.oclc.org,Yale University,http://www.library.yale.edu/
www.oclc.org,Yeshiva University,http://www.yu.edu/libraries/
